Dialect_Name,Dialect_Sentence,English_Translation,Hindi_Translation
Konkani,हो रस्तो खूब बरो आसा.,Ts road is very good.,यह रास्ता बहुत अच्छा है।
Konkani,तुमी कोंकणी उलयता?,Do you speak Konkani?,क्या आप कोंकणी बोलते हैं?
Konkani,म्हाका शीत खावपाक जाय.,I want to eat rice.,मुझे चावल खाना है।
Konkani,तो दर्यांत पोवपाक गेला.,He went to swim in the sea.,वह समुद्र में तैरने गया।
Konkani,आमकां फळां खावपाक आवडटात.,We like to eat fruits.,हमें फल खाना पसंद है।
Konkani,तिणें नवी साडी घेतल्या.,She has bought a new saree.,उसने नई साड़ी खरीदी है।
Konkani,हांव रोज मंदिराक वतां.,I go to temple every day.,मैं रोज मंदिर जाता हूं।
Konkani,तुमी कितें करता?,What are you doing?,आप क्या कर रहे हैं?
Khandesh,म्या काल गावाला गेलो.,I went to the village yesterday.,मैं कल गाँव गया था।
Khandesh,त्यो रोज शेताला जातो.,He goes to the farm every day.,वह रोज खेत जाता है।
Khandesh,आपून उद्या बाजाराला जाऊ.,Let's go to the market tomorrow.,चलो कल बाज़ार चलते हैं।
Khandesh,इथं पाणी कुठं मिळतं?,Where do we get water here?,यहाँ पानी कहाँ मिलता है?
Khandesh,त्यो मोठा शेतकरी हाय.,He is a big farmer.,वह बड़ा किसान है।
Khandesh,गावात नवी शाळा झाली.,A new school has been built in the village.,गाँव में नई स्कूल बनी है।
Khandesh,म्या रोज दूध पितो.,I drink milk every day.,मैं रोज दूध पीता हूं।
Khandesh,त्यांचं घर मोठं हाय.,Their house is big.,उनका घर बड़ा है।
Khandesh,पाऊस पडायला लागला.,It started raining.,बारिश शुरू हो गई।
Khandesh,आज बी गरम हाय.,It is hot today too.,आज भी गरमी है।
Khandesh,त्यो कुठं गेला?,Where did he go?,वह कहाँ गया?
Khandesh,शेतात पीक चांगलं आलं.,The crop in the field is good.,खेत में फसल अच्छी हुई है।
Khandesh,गावात जत्रा हाय.,There is a fair in the village.,गाँव में मेला है।
Khandesh,म्या नवी गाडी घेतली.,I bought a new vecle.,मैंने नई गाड़ी खरीदी।
Khandesh,त्यांचं लगीन झालं.,They got married.,उनकी शादी हो गई।
Khandesh,पोरं खेळायला गेली.,Cldren went to play.,बच्चे खेलने गए।
Khandesh,आज बाजार हाय.,Today is market day.,आज बाज़ार है।
Khandesh,त्यो रोज इथं येतो.,He comes here every day.,वह रोज यहाँ आता है।
Khandesh,शेतात काम चालू हाय.,Work is going on in the field.,खेत में काम चल रहा है।
Khandesh,पाणी खूप गरम हाय.,The water is very hot.,पानी बहुत गरम है।
Khandesh,त्यांनी नवं घर बांधलं.,They built a new house.,उन्होंने नया घर बनाया।
Khandesh,म्या रोज फिरायला जातो.,I go for a walk every day.,मैं रोज घूमने जाता हूं।
Khandesh,गावात नवा रस्ता झाला.,A new road has been built in the village.,गाँव में नई सड़क बनी है।
Khandesh,आज सुट्टी हाय.,Today is a holiday.,आज छुट्टी है।
Khandesh,त्यो शेतात काम करतो.,He works in the field.,वह खेत में काम करता है।
Khandesh,पावसाळा सुरू झाला.,The rainy season has started.,बारिश का मौसम शुरू हो गया है।
Khandesh,गावात नवं मंदीर झालं.,A new temple has been built in the village.,गाँव में नया मंदिर बना है।
Khandesh,त्यांनी विहीर खोदली.,They dug a well.,उन्होंने कुआं खोदा।
Khandesh,आज पयला पाऊस पडला.,It rained for the first time today.,आज पहली बारिश हुई।
Khandesh,पोरं शाळेला गेली.,Cldren went to school.,बच्चे स्कूल गए।
Varhadi,मी काल गावाले गेलो.,I went to the village yesterday.,मैं कल गाँव गया था।
Varhadi,त्यो रोज शेताले जाते.,He goes to the farm every day.,वह रोज खेत जाता है।
Varhadi,आपुन उद्या बजाराले जाऊ.,Let's go to the market tomorrow.,चलो कल बाज़ार चलते हैं।
Varhadi,इकड पानी कुठं मिळते?,Where do we get water here?,यहाँ पानी कहाँ मिलता है?
Varhadi,त्यो मोठा शेतकरी हाये.,He is a big farmer.,वह बड़ा किसान है।
Varhadi,गावात नवीन शाळा झाली.,A new school has been built in the village.,गाँव में नई स्कूल बनी है।
Varhadi,मी रोज दूद पिते.,I drink milk every day.,मैं रोज दूध पीता हूं।
Varhadi,त्येचं घर मोठं हाये.,Their house is big.,उनका घर बड़ा है।
Varhadi,पाऊस पडायला लागला.,It started raining.,बारिश शुरू हो गई।
Varhadi,आज बी गरमी हाये.,It is hot today too.,आज भी गरमी है।
Varhadi,त्यो कुठं गेला?,Where did he go?,वह कहाँ गया?
Varhadi,शेतात पीक चांगलं आलं.,The crop in the field is good.,खेत में फसल अच्छी हुई है।
Varhadi,गावात जत्रा हाये.,There is a fair in the village.,गाँव में मेला है।
Varhadi,मी नवीन गाडी घेतली.,I bought a new vecle.,मैंने नई गाड़ी खरीदी।
Varhadi,त्येचं लगीन झालं.,They got married.,उनकी शादी हो गई।
Varhadi,पोरं खेळायले गेली.,Cldren went to play.,बच्चे खेलने गए।
Varhadi,आज बजार हाये.,Today is market day.,आज बाज़ार है।
Varhadi,त्यो रोज इकड येते.,He comes here every day.,वह रोज यहाँ आता है।
Varhadi,शेतात काम चालू हाये.,Work is going on in the field.,खेत में काम चल रहा है।
Varhadi,पानी खूप गरम हाये.,The water is very hot.,पानी बहुत गरम है।
Varhadi,त्यांनी नवं घर बांधलं.,They built a new house.,उन्होंने नया घर बनाया।
Varhadi,मी रोज फिरायले जाते.,I go for a walk every day.,मैं रोज घूमने जाता हूं।
Varhadi,गावात नवा रस्ता झाला.,A new road has been built in the village.,गाँव में नई सड़क बनी है।
Varhadi,आज सुट्टी हाये.,Today is a holiday.,आज छुट्टी है।
Varhadi,त्यो शेतात काम करते.,He works in the field.,वह खेत में काम करता है।
Varhadi,पावसाळा सुरू झाला.,The rainy season has started.,बारिश का मौसम शुरू हो गया है।
Varhadi,गावात नवं देऊळ झालं.,A new temple has been built in the village.,गाँव में नया मंदिर बना है।
Varhadi,त्यांनी विहीर खोदली.,They dug a well.,उन्होंने कुआं खोदा।
Varhadi,आज पयला पाऊस पडला.,It rained for the first time today.,आज पहली बारिश हुई।
Varhadi,पोरं शाळेले गेली.,Cldren went to school.,बच्चे स्कूल गए।
Ahirani,म्या काल गावाला गेलो.,I went to the village yesterday.,मैं कल गाँव गया था।
Ahirani,तो रोज शेताला जातो.,He goes to the farm every day.,वह रोज खेत जाता है।
Ahirani,आपुन उद्या बजाराला जावू.,Let's go to the market tomorrow.,चलो कल बाज़ार चलते हैं।
Ahirani,इथं पानी कुठं मिळतं?,Where do we get water here?,यहाँ पानी कहाँ मिलता है?
Ahirani,तो मोठो शेतकरी हाय.,He is a big farmer.,वह बड़ा किसान है।
Ahirani,गावात नवी शाळा झाली.,A new school has been built in the village.,गाँव में नई स्कूल बनी है।
Ahirani,म्या रोज दूद पितो.,I drink milk every day.,मैं रोज दूध पीता हूं।
Ahirani,त्यांचं घर मोठं हाय.,Their house is big.,उनका घर बड़ा है।
Ahirani,पाऊस पडायला लागला.,It started raining.,बारिश शुरू हो गई।
Ahirani,आज बी गोम हाय.,It is hot today too.,आज भी गरमी है।
Ahirani,तो कुठं गेला?,Where did he go?,वह कहाँ गया?
Ahirani,शेतात पीक चांगलं आलं.,The crop in the field is good.,खेत में फसल अच्छी हुई है।
Ahirani,गावात जत्रा हाय.,There is a fair in the village.,गाँव में मेला है।
Ahirani,म्या नवी गाडी घेतली.,I bought a new vecle.,मैंने नई गाड़ी खरीदी।
Ahirani,त्यांचं लगीन झालं.,They got married.,उनकी शादी हो गई।
Ahirani,पोरं खेळायला गेली.,Cldren went to play.,बच्चे खेलने गए।
Ahirani,आज बजार हाय.,Today is market day.,आज बाज़ार है।
Ahirani,तो रोज इथं येतो.,He comes here every day.,वह रोज यहाँ आता है।
Ahirani,शेतात काम चालू हाय.,Work is going on in the field.,खेत में काम चल रहा है।
Ahirani,पानी खूप गरम हाय.,The water is very hot.,पानी बहुत गरम है।
Ahirani,त्यांनी नवं घर बांधलं.,They built a new house.,उन्होंने नया घर बनाया।
Ahirani,म्या रोज फिरायला जातो.,I go for a walk every day.,मैं रोज घूमने जाता हूं।
Ahirani,गावात नवा रस्ता झाला.,A new road has been built in the village.,गाँव में नई सड़क बनी है।
Ahirani,आज सुट्टी हाय.,Today is a holiday.,आज छुट्टी है।
Ahirani,तो शेतात काम करतो.,He works in the field.,वह खेत में काम करता है।
Ahirani,पावसाळा सुरू झाला.,The rainy season has started.,बारिश का मौसम शुरू हो गया है।
Ahirani,गावात नवं देऊळ झालं.,A new temple has been built in the village.,गाँव में नया मंदिर बना है।
Ahirani,त्यांनी विहीर खोदली.,They dug a well.,उन्होंने कुआं खोदा।
Ahirani,आज पयला पाऊस पडला.,It rained for the first time today.,आज पहली बारिश हुई।
Ahirani,पोरं शाळेला गेली.,Cldren went to school.,बच्चे स्कूल गए।
Malvani,हांव काल गावाक गेलो.,I went to the village yesterday.,मैं कल गाँव गया था।
Malvani,तो रोज शेताक जाता.,He goes to the farm every day.,वह रोज खेत जाता है।
Malvani,चला उद्या बाजाराक जावया.,Let's go to the market tomorrow.,चलो कल बाज़ार चलते हैं।
Malvani,हांगा पाणी कुठं मेळता?,Where do we get water here?,यहाँ पानी कहाँ मिलता है?
Malvani,तो व्हडलो शेतकरी हाय.,He is a big farmer.,वह बड़ा किसान है।
Malvani,गावांत नवी शाळा बांदली.,A new school has been built in the village.,गाँव में नई स्कूल बनी है।
Malvani,हांव रोज दूद पिता.,I drink milk every day.,मैं रोज दूध पीता हूं।
Malvani,त्यांचं घर व्हडलं हाय.,Their house is big.,उनका घर बड़ा है।
Malvani,पाऊस पडपाक लागला.,It started raining.,बारिश शुरू हो गई।
Malvani,आयज बी कडक उन्हाळं हाय.,It is hot today too.,आज भी गरमी है।
Malvani,तो कुठं गेला वो?,Where did he go?,वह कहाँ गया?
Malvani,शेतांत पीक बरं आयलं.,The crop in the field is good.,खेत में फसल अच्छी हुई है।
Malvani,गावांत जत्रा हाय.,There is a fair in the village.,गाँव में मेला है।
Malvani,हांव नवी गाडी घेतली.,I bought a new vecle.,मैंने नई गाड़ी खरीदी।
Malvani,त्यांचं लग्न जालं.,They got married.,उनकी शादी हो गई।
Malvani,भुरगी खेळपाक गेली.,Cldren went to play.,बच्चे खेलने गए।
Malvani,आयज बाजार हाय.,Today is market day.,आज बाज़ार है।
Malvani,तो रोज हांगा येता.,He comes here every day.,वह रोज यहाँ आता है।
Malvani,शेतांत काम चालू हाय.,Work is going on in the field.,खेत में काम चल रहा है।
Malvani,पाणी खूप तापलं हाय.,The water is very hot.,पानी बहुत गरम है।
Malvani,त्यांनी नवं घर बांदलं.,They built a new house.,उन्होंने नया घर बनाया।
Malvani,हांव रोज फिरपाक जाता.,I go for a walk every day.,मैं रोज घूमने जाता हूं।
Malvani,गावांत नवो रस्तो जाला.,A new road has been built in the village.,गाँव में नई सड़क बनी है।
Malvani,आयज सुट्टी हाय.,Today is a holiday.,आज छुट्टी है।
Malvani,तो शेतांत काम करता.,He works in the field.,वह खेत में काम करता है।
Malvani,पावसाळो सुरू जाला.,The rainy season has started.,बारिश का मौसम शुरू हो गया है।
Malvani,गावांत नवं देऊळ बांदलं.,A new temple has been built in the village.,गाँव में नया मंदिर बना है।
Malvani,त्यांनी विहीर खोदली.,They dug a well.,उन्होंने कुआं खोदा।
Malvani,आयज पयलो पाऊस पडलो.,It rained for the first time today.,आज पहली बारिश हुई।
Malvani,भुरगी शाळेक गेली.,Cldren went to school.,बच्चे स्कूल गए।
Konkani,हांगा मासळी विकपाची दुकानां खूब आसात.,There are many fish shops here.,यहाँ मछली की बहुत दुकानें हैं।
Konkani,सोल्लकणी वाऱ्याक सगळीं झाडां हालतात.,All trees sway in the evening breeze.,शाम की हवा में सारे पेड़ हिलते हैं।
Konkani,म्हज्या मावशीक सुकट्याची कालवण करपाक खूब आवडटा.,My aunt loves to make dried fish curry.,मेरी मौसी को सूखी मछली की करी बनाना बहुत पसंद है।
Konkani,पावसाळ्यांत रानांत आळंबी मेळटात.,Mushrooms are found in the forest during monsoon.,बरसात में जंगल में मशरूम मिलते हैं।
Konkani,फातरार बसून नुस्तें धरपाक जायत.,People sit on rocks to catch fish.,लोग चट्टानों पर बैठकर मछली पकड़ते हैं।
Konkani,काजूची लागवड करपाक खूब मेहनत लागता.,It takes a lot of effort to cultivate cashews.,काजू की खेती में बहुत मेहनत लगती है।
Konkani,तांदळाची पेज करून घाल्या.,Make rice porridge.,चावल का पेज बनाओ।
Konkani,खारवी बायलो मासळी विकपाक आयल्यात.,Fish-selling women have come to sell fish.,मछली बेचने वाली औरतें आई हैं।
Konkani,कुडीच्या झाडार चडपाक नाका.,Don't climb the betel nut tree.,सुपारी के पेड़ पर मत चढ़ो।
Konkani,वळवाच्या पावसाक भिजपाक जाल्यार भायर वच.,Go out if you want to get wet in the drizzle.,बूंदाबांदी में भीगना है तो बाहर जाओ।
Konkani,सोरोप पळयलो म्हणून तो धांवत आयलो.,He came running because he saw a snake.,साँप देखकर वह दौड़ता हुआ आया।
Konkani,तोरी भाजी करपाक हाडल्या.,Brought ridge gourd to make vegetables.,तोरी सब्जी बनाने के लिए लाई हूं।
Konkani,आंबिल्या कोयत्यान फळां तोडूं नाका.,Don't pluck fruits with a blunt sickle.,भोथी दरांती से फल मत तोड़ो।
Konkani,दर्यादेगेर होड्यो बांदतात.,They build boats by the seashore.,समुद्र किनारे नाव बनाते हैं।
Konkani,चिखलांत रोवणी करपाक जाल्यार.,If you want to do planting in the mud.,कीचड़ में रोपाई करनी है तो।
Konkani,मिठागराक वचून मीठ हाडूं या.,Let's go to the salt pans and bring salt.,नमक के खेत में जाकर नमक लाएं।
Konkani,खोब्याची चटणी करून दवर.,Make coconut chutney and keep it.,नारियल की चटनी बनाकर रखो।
Konkani,शिंप्यांचो संग्रह करता तो.,He collects shells.,वह सीप इकट्ठा करता है।
Konkani,तिणें सुकयल्ले पापलेट हाडले.,She brought dried pomfrets.,वह सूखी पापलेट लाई।
Konkani,कोळंबी सांगोडे करपाक शिकयता ती.,She teaches how to make prawn fritters.,वह झींगा पकौड़े बनाना सिखाती है।
Konkani,खारें पाणी भरल्या विहिरीक.,The well is filled with saline water.,कुएं में खारा पानी भर गया है।
Konkani,सुरमई नुस्तें आयज मेळना.,Seerfish is not available today.,सुरमई मछली आज नहीं मिल रही है।
Konkani,भातखण्यांतल्यान वाफ येता.,Steam is coming from the paddy fields.,धान के खेतों से भाप निकल रही है।
Konkani,मडवाळे वाऱ्याक कापूस उडटा.,Cotton flies in the wrlwind.,बवंडर में रुई उड़ रही है।
Konkani,घोळ गाळून दूद काडटा.,Straining the buttermilk to get butter.,मट्ठा छानकर मक्खन निकालती है।
Konkani,कुरपणाक वचपाचें आसा उद्या.,Have to go for weeding tomorrow.,कल निराई के लिए जाना है।
Konkani,पेंड्यार बसून तांदूळ वेंचता.,Sitting on the stool and sorting rice.,पीढ़े पर बैठकर चावल बीन रही है।
Konkani,तिखट मिरसांगो खावपाक जमना म्हाका.,I cannot eat spicy clies.,मैं तीखी मिर्च नहीं खा सकता।
Konkani,कांदे भाजून घाल्यात.,Fry the onions.,प्याज तल लो।
Konkani,खोबरें कोरून दवरलां.,Coconut has been grated and kept.,नारियल कस कर रखा है।
Konkani,आळवी भाजी करपाक कशी धुवची?,How to wash colocasia leaves for cooking?,अरबी के पत्ते सब्जी के लिए कैसे धोएं?
Konkani,तिखट लोणच्याची चव बरी आसा.,The spicy pickle tastes good.,तीखा अचार स्वादिष्ट है।
Konkani,मांडार बसून जेवण करूं या.,Let's sit on the floor mat and eat.,चटाई पर बैठकर खाना खाएं।
Konkani,सुकणा फडक्यार कपडे वाळयता.,Drying clothes on the drying cloth.,सूखे कपड़े पर कपड़े सुखा रही है।
Konkani,मांडवा खाला बसून गप्पा मारूया.,Let's sit under the pandal and chat.,मंडप के नीचे बैठकर बातें करें।
Konkani,खारवट नुस्त्याची चव वेगळीच.,Salted fish has a unique taste.,नमकीन मछली का स्वाद अलग ही है।
Konkani,पानसाच्या झाडार चडपाक कठीण.,It's difficult to climb the jackfruit tree.,कटहल के पेड़ पर चढ़ना मुश्किल है।
Konkani,वेलदोड्यांची भाजी करता ती.,She makes ivy gourd curry.,वह कुंदरु की सब्जी बनाती है।
Konkani,कारल्याची भाजी तिखट जाल्या.,The bitter gourd curry became spicy.,करेले की सब्जी तीखी हो गई है।
Konkani,गव्हाचें पीठ दळून हाडलां.,Brought wheat flour after grinding.,गेहूं का आटा पीसकर लाया है।
Konkani,शेवग्याच्या शेंगा तोडपाक गेल्लो.,Went to pluck drumstick pods.,सहजन की फली तोड़ने गया था।
Konkani,पेरूची झाडां लायल्यांत त्याणी.,They have planted guava trees.,उन्होंने अमरूद के पेड़ लगाए हैं।
Konkani,कोयत्यान गवत कापता तो.,He cuts grass with a sickle.,वह दरांती से घास काटता है।
Konkani,मासळी विकपाक बाजाराक वचूया.,Let's go to the market to sell fish.,मछली बेचने बाज़ार चलें।
Konkani,खोब्याच्या झाडार चडून पळे तोडटा.,Climbing coconut tree to pluck coconuts.,नारियल के पेड़ पर चढ़कर नारियल तोड़ता है।
Konkani,तांबड्या मिरसांगांची चटणी करता.,Making red cli chutney.,लाल मिर्च की चटनी बनाता है।
Konkani,काजूची बी भाजून खाता तो.,He eats roasted cashew nuts.,वह काजू भूनकर खाता है।
Konkani,आंब्याच्या कोयाची चटणी बरी जाल्या.,The mango kernel chutney turned out good.,आम की गुठली की चटनी अच्छी बनी है।
Konkani,सुकट्या बांगड्यांची चव बरी आसा.,Dried mackerel tastes good.,सूखी बांगड़ा का स्वाद अच्छा है।
Konkani,मोगऱ्याच्या फुलांचा सुवास येता.,The jasmine flowers smell fragrant.,मोगरे के फूलों की खुशबू आ रही है।
Konkani,कोबी भाजी कापून दवरल्या.,Cabbage has been cut and kept.,पत्तागोभी काटकर रखी है।
Konkani,फणसाची भाजी करपाक शिकयता.,Teacng how to make jackfruit curry.,कटहल की सब्जी बनाना सिखाता है।
Konkani,आमट्याक चिंचेचो कोळ घालता.,Adding tamarind extract to the curry.,अमटी में इमली का रस डालता है।
Konkani,पावा वयर लोणी लावन खाता.,Eats bread with butter.,पाव पर मक्खन लगाकर खाता है।
Konkani,उकडल्ले तांदूळ गार जाल्यात.,The boiled rice has cooled down.,उबला हुआ चावल ठंडा हो गया है।
Konkani,भाकरी करपाक पीठ मळता.,Kneading flour to make flatbread.,रोटी बनाने के लिए आटा गूंथ रही है।
Konkani,कणिक भाजी करपाक शिजयता.,Cooking wheat flour curry.,आटे की सब्जी पका रही है।
Konkani,पापड भाजून दवरल्यात.,Papad has been fried and kept.,पापड़ तलकर रखा है।
Konkani,वांग्याची भाजी तिखट जाल्या.,The brinjal curry became spicy.,बैंगन की सब्जी तीखी हो गई है।
Konkani,कलिंगडाचो रस काडटा.,Extracting watermelon juice.,तरबूज का रस निकाल रहा है।
Konkani,आळूची भाजी शिजयता ती.,She is cooking potato curry.,वह आलू की सब्जी पका रही है।
Konkani,मटार शेंगा सोलून दवरल्यात.,Peas have been peeled and kept.,मटर छीलकर रखी है।
Konkani,लसणाच्या पाकळ्यो सोलता.,Peeling garlic cloves.,लहसुन की कलियां छील रहा है।
Konkani,कांद्याची भाजी रुचीक लागता.,Onion curry tastes delicious.,प्याज की सब्जी स्वादिष्ट लगती है।
Konkani,तळलेले पापलेट गार जाले.,The fried pomfrets have cooled down.,तली हुई पापलेट ठंडी हो गई है।
Konkani,सुरईचो रस्सो करता ती.,She makes seer fish curry.,वह सुरमई मछली का रस्सा बनाती है।
Konkani,बांगड्यांची आमटी बरी जाल्या.,The mackerel curry turned out good.,बांगड़े की अमटी अच्छी बनी है।
Konkani,तांबड्या मासळीचो कालवण करता.,Making red fish curry.,लाल मछली की करी बनाता है।
Konkani,पावट्याची उसळ शिजयता.,Cooking sprouted moth beans.,मोठ की उसल पका रही है।
Konkani,चण्याची डाळ भिजत घातल्या.,Cckpea lentils have been soaked.,चने की दाल भिगो दी है।
Konkani,काकडीची कोशिंबीर करता.,Making cucumber salad.,खीरे का सलाद बना रहा है।
Konkani,टोमॅटोचो सूप पियेवया.,Let's drink tomato soup.,टमाटर का सूप पीएं।
Khandesh,बाजरीची भाकर खावा लागीन.,Have to eat bajra roti.,बाजरे की रोटी खानी पड़ेगी।
Khandesh,म्या धान कापायला गेलो.,I went to harvest paddy.,मैं धान काटने गया।
Khandesh,त्येची शेळी खाडीत पडली.,s goat fell in the ravine.,उसकी बकरी खाई में गिर गई।
Khandesh,कपाशी वेचायला जावं लागीन.,Have to go pick cotton.,कपास चुनने जाना पड़ेगा।
Khandesh,आखाड्यावर कुस्ती हाय.,There's wrestling at the arena.,अखाड़े में कुश्ती है।
Khandesh,बैल बजारात नेला त्यानं.,He took the bull to the market.,वह बैल को बाज़ार ले गया।
Khandesh,गुराले पानी पाजा लागीन.,Have to give water to the cattle.,जानवरों को पानी पिलाना पड़ेगा।
Khandesh,खंडोबाचा जत्रेला जावा लागीन.,Have to go to Khandoba's fair.,खंडोबा के मेले में जाना पड़ेगा।
Khandesh,कडबा टाकायला गेलो.,I went to put fodder.,मैं चारा डालने गया।
Khandesh,त्यो झोपडीत राहतो.,He lives in a hut.,वह झोपड़ी में रहता है।
Khandesh,गावात नवा तलाव खोदला.,A new pond was dug in the village.,गाँव में नया तालाब खोदा गया।
Khandesh,म्या वाघाले पायलं.,I saw a tiger.,मैंने बाघ को देखा।
Khandesh,शिवार फिरायला गेलो.,Went to roam in the fields.,खेतों में घूमने गया।
Khandesh,त्येचं बी काल लगीन झालं.,s wedding was also yesterday.,उसकी भी कल शादी हुई।
Khandesh,कोयता धार काडायला नेला.,Took the sickle to sharpen.,दरांती धार लगाने ले गया।
Khandesh,आंब्याची कोय टाकली त्यानं.,He threw the mango seed.,उसने आम की गुठली फेंकी।
Khandesh,जवारीचं पीक चांगलं आलं.,The jowar crop turned out good.,ज्वार की फसल अच्छी हुई।
Khandesh,गुरं चरायला नेली त्यानं.,He took the cattle for grazing.,वह जानवरों को चराने ले गया।
Khandesh,खडकावर बसून पानी पितो.,Sits on the rock and drinks water.,चट्टान पर बैठकर पानी पीता है।
Khandesh,त्येची म्हैस दूद देती.,s buffalo gives milk.,उसकी भैंस दूध देती है।
Khandesh,ढोर डोंगरात चरतंय.,Cattle are grazing in the mountains.,जानवर पहाड़ों में चर रहे हैं।
